mode,cudnn_enabled,n_steps,fx,fb,output_difference,ig_sum,captum_delta,ig_max_abs,normalized_completeness_error
train,True,50,0.03747373819351196,0.14732897281646729,-0.10985523462295532,-16134576275456.0,-16134576275456.0,41015947821056.0,146871255891319.56
eval,False,50,0.10102250427007675,0.20589694380760193,-0.10487443953752518,-173827225026560.0,-173827225026560.0,37988104929280.0,1657479418163710.0
