sample_number,window_start,success,prediction,target_scaled,prediction_abs_error_scaled,baseline_prediction,output_difference,gradient_l2,gradient_max_abs,gradient_mean_abs,early_gradient_mean,recent_gradient_mean,early_recent_gradient_ratio,ig_sum,captum_delta,ig_max_abs,absolute_completeness_error,normalized_completeness_error,error
10,20684,True,0.1905859112739563,0.05657448247075081,0.1340114288032055,0.14732897281646729,0.043256938457489014,22498560000.0,6417243648.0,142848752.0,6403969024.0,0.8259159326553345,7753778285.17138,1.313593198903296e+16,1.313593198903296e+16,7136395252465664.0,1.313593198903296e+16,3.0367225368107584e+17,
11,22753,True,0.18035055696964264,0.0881301611661911,0.09222039580345154,0.14732897281646729,0.033021584153175354,4015419817984.0,2070715170816.0,16976400384.0,1060133863424.0,1.1401551961898804,929815403172.0488,260016649011200.0,260016649011200.0,138884964941824.0,260016649011199.97,7874142191277115.0,
12,24821,True,0.05601498484611511,0.08062230050563812,0.02460731565952301,0.14732897281646729,-0.09131398797035217,152104622620672.0,57155537338368.0,797948510208.0,43374916665344.0,0.601403534412384,72122816351128.56,-4488404033077248.0,-4488404033077248.0,2.6060364756025344e+16,4488404033077248.0,4.915352108469284e+16,
13,26890,True,0.3991219699382782,0.3147546947002411,0.08436727523803711,0.14732897281646729,0.2517929971218109,1.5280234354756813e+17,8.109215223434445e+16,602306349367296.0,3.70976726450176e+16,2.544180393218994,1.4581384536998262e+16,3.582345033757491e+16,3.582345033757491e+16,3.722461899338547e+16,3.582345033757491e+16,1.4227341803355312e+17,
14,28958,True,0.3537886142730713,0.33841627836227417,0.01537233591079712,0.14732897281646729,0.206459641456604,4.3752429835413094e+17,3.376928687998894e+17,1399129888522240.0,8.747930117944115e+16,0.764294445514679,1.144575911715965e+17,3.086842387759104e+16,3.086842387759104e+16,8.896911366527386e+16,3.086842387759104e+16,1.4951311384472106e+17,
15,31026,True,0.2751716375350952,0.526829719543457,0.2516580820083618,0.14732897281646729,0.12784266471862793,79232591986688.0,40984511512576.0,384707166208.0,19079207321600.0,2.506155490875244,7612938379548.357,-8812508387213312.0,-8812508387213312.0,1.989482323850035e+16,8812508387213312.0,6.893245229626624e+16,
16,33095,True,0.013537943363189697,0.07745328545570374,0.06391534209251404,0.14732897281646729,-0.1337910294532776,1303320199168.0,417869922304.0,7480826880.0,339154042880.0,1.9130172729492188,177287496394.1859,697309817995264.0,697309817995264.0,752139907366912.0,697309817995264.1,5211932525218862.0,
17,35163,True,0.1157585009932518,0.08564266562461853,0.03011583536863327,0.14732897281646729,-0.031570471823215485,6.301004356544102e+16,2.7626062871527424e+16,292206757806080.0,1.4742612682473472e+16,0.4679626524448395,3.1503823233438996e+16,77140909359104.0,77140909359104.0,59555752968192.0,77140909359104.03,2443451266380336.0,
18,37232,True,0.1156604215502739,0.27650782465934753,0.16084740310907364,0.14732897281646729,-0.03166855126619339,3900800698941440.0,3135721263071232.0,9890230697984.0,644679020314624.0,0.4819955825805664,1337520598971184.0,-1.56586991419392e+16,-1.56586991419392e+16,1.770465513177088e+16,1.56586991419392e+16,4.944558091661307e+17,
19,39300,True,0.028066053986549377,0.09914204478263855,0.07107599079608917,0.14732897281646729,-0.11926291882991791,1486181.75,602502.4375,7724.26611328125,383845.5,0.1262197494506836,3041089.0662556384,-11039240355840.0,-11039240355840.0,8300083544064.0,11039240355839.88,92562218534081.78,
