,count,mean,std,min,25%,50%,75%,90%,95%,99%,max
prediction_abs_error_scaled,100.0,0.12243878606706858,0.10164508287254129,0.0012089237570762634,0.0447960551828146,0.10391495376825333,0.17125800997018814,0.2581252381205559,0.2902235336601734,0.43726784899830845,0.49375325441360474
gradient_l2,100.0,1.9792924500919484e+16,8.907100302916802e+16,0.4065239131450653,13662920448.0,2940452732928.0,175463808892928.0,2.7751799112859764e+16,7.251220430030101e+16,4.4049989670805856e+17,7.350841337467372e+17
gradient_max_abs,100.0,1.2943469405000756e+16,6.183125974747508e+16,0.1420316994190216,6149950720.0,1443414147072.0,100860774318080.0,1.3259602351095834e+16,4.6564356305767624e+16,3.392466381591237e+17,4.9306980472324096e+17
early_recent_gradient_ratio,100.0,4696934699238232.0,2.344531156023432e+16,0.06102376286201091,4745943721.305752,716800808531.6787,70256654877631.5,2221079008311701.0,1.5310248659104806e+16,1.1527760389894406e+17,1.964588639063109e+17
absolute_completeness_error,100.0,1.6470125236829027e+17,6.367632333359668e+17,595699171327.9116,144619440439296.2,1700219309785088.0,3.588150111554765e+16,3.260425535431377e+17,5.868783019950602e+17,3.03429656282815e+18,4.958075062130311e+18
normalized_completeness_error,100.0,3.6430169681214863e+18,1.5892013017456589e+19,6741827564617.839,2768167181145048.0,1.798319192439864e+16,3.431057729120164e+17,5.474551164676607e+18,1.5369788759304395e+19,7.412311965515212e+19,1.3077748016246994e+20
