Condition,MAE,RMSE,sMAPE_%,MASE,MAE_degradation_%
Clean,0.5707278847694397,0.8593231439590454,61.04515838623047,6.565324306488037,0.0
1% missing,0.560268759727478,0.8575999140739441,59.54767990112305,6.445008277893066,-1.8325940121511506
5% missing,0.5612848997116089,0.8541697263717651,59.98846435546875,6.456697463989258,-1.6545511985358046
Gaussian noise,0.5641092658042908,0.849427342414856,60.37125015258789,6.489187240600586,-1.15968032082797
