Lookback,MAE,RMSE,sMAPE_%,MASE,Interpretation
60,0.5724539160728455,0.8724139928817749,60.725547790527344,6.585179328918457,same trained weights
120,0.5696026086807251,0.8552953004837036,60.69977951049805,6.552379608154297,same trained weights
240,0.5616732835769653,0.8468710780143738,59.829681396484375,6.461165428161621,same trained weights
