Model,Regime,MAE,RMSE,sMAPE_%,MASE
LSTM,Peak (>= P90),1.8963103294372559,2.135296583175659,93.79551696777344,21.81406021118164
LSTM,Non-peak,0.4135410189628601,0.5508793592453003,56.0960693359375,4.757137298583984
Persistence,Peak (>= P90),1.0564504861831665,1.449240803718567,43.81367874145508,12.152796745300293
Persistence,Non-peak,0.2718580365180969,0.5162407159805298,32.620460510253906,3.127297878265381
