Model,MAE,RMSE,sMAPE_%,MASE
Persistence,0.35038524866104126,0.6708523631095886,33.740753173828125,4.030629634857178
Seasonal Naive,0.6891251802444458,1.052729606628418,62.56389617919922,7.927298545837402
LSTM,0.5619463920593262,0.8540721535682678,59.86928176879883,6.464306831359863
XGBoost,0.7918524146080017,1.1271305084228516,110.78153991699219,9.109013557434082
